Date,Open,High,Low,Close
4-Jun-16,569.71,590.13,564.24,572.73
3-Jun-16,537.68,574.64,536.92,569.19
2-Jun-16,536.51,540.35,533.08,537.97
1-Jun-16,531.11,543.08,525.64,536.92
31-May-16,534.19,546.62,520.66,531.39
30-May-16,528.47,544.35,522.96,533.86
29-May-16,527.48,553.96,512.18,526.23
28-May-16,473.03,533.47,472.7,530.04
27-May-16,453.52,478.15,453.52,473.46
26-May-16,449.67,453.64,447.9,453.38
25-May-16,446.06,450.3,446.06,449.6
24-May-16,444.29,447.1,443.93,445.98
23-May-16,439.35,444.35,438.82,444.15
22-May-16,443.22,443.43,439.04,439.32
21-May-16,442.97,443.78,441.71,443.19
20-May-16,437.79,444.05,437.39,442.68
19-May-16,454.52,454.63,438.71,438.71
18-May-16,453.69,456,453.3,454.62
17-May-16,454.01,455.07,453.61,453.78
16-May-16,457.59,458.2,452.94,454.16
15-May-16,455.76,458.69,455.46,457.57
14-May-16,455.82,456.84,454.79,455.67
13-May-16,454.85,457.06,453.45,455.67
12-May-16,452.45,454.95,449.25,454.77
11-May-16,450.86,454.58,450.86,452.73
10-May-16,460.52,461.93,448.95,450.89
9-May-16,458.21,462.48,456.53,460.48
8-May-16,458.43,459.42,455.98,458.55
7-May-16,459.64,460.68,457.32,458.54
6-May-16,447.94,461.38,447.07,459.6
5-May-16,446.71,448.51,445.88,447.98
4-May-16,450.18,450.38,445.63,446.72
3-May-16,444.73,451.1,442.62,450.3
2-May-16,451.93,452.44,441.78,444.67
1-May-16,448.48,452.48,447.93,451.88
30-Apr-16,455.18,455.59,447.7,448.32
29-Apr-16,449.41,455.38,446.02,455.1
28-Apr-16,445.04,449.55,436.65,449.01
27-Apr-16,466.26,467.08,444.13,444.69
26-Apr-16,461.65,467.96,461.62,466.09
25-Apr-16,459.12,466.62,453.59,461.43
24-Apr-16,450.56,460.15,448.93,458.56
23-Apr-16,445.86,450.28,444.33,450.28
22-Apr-16,449.69,449.81,444.15,445.74
21-Apr-16,441.42,450.55,440.95,449.43
20-Apr-16,435.32,443.05,434.41,441.39
19-Apr-16,428.7,436.02,428.1,435.51
18-Apr-16,427.61,429.27,427.09,428.59
17-Apr-16,430.64,431.37,426.08,427.4
16-Apr-16,429.57,432.63,428.98,430.57
15-Apr-16,424.43,429.93,424.43,429.71
14-Apr-16,423.94,425.37,423.01,424.28
13-Apr-16,425.63,426.66,422.92,423.73
12-Apr-16,422.84,427.28,422.84,425.19
11-Apr-16,421.87,422.74,420.53,422.48
10-Apr-16,419.59,422.44,419.26,421.56
9-Apr-16,420.81,420.89,416.51,419.41
8-Apr-16,422.91,425.36,419.63,420.35
7-Apr-16,423.62,423.66,420.52,422.75
6-Apr-16,424.28,424.53,422.73,423.41
5-Apr-16,421.02,424.26,420.61,424.03
4-Apr-16,421.3,422.34,419.6,421.44
3-Apr-16,421.17,421.58,419.7,420.9
2-Apr-16,418.42,422.08,418.42,420.87
1-Apr-16,416.76,418.17,415.83,417.96
31-Mar-16,415.26,418.37,415.26,416.73
30-Mar-16,416.83,416.83,412.5,414.82
29-Mar-16,424.3,426.2,412.68,416.52
28-Mar-16,426.55,426.86,423.29,424.23
27-Mar-16,418.14,428.8,417.71,426.76
26-Mar-16,417.37,418.99,416.26,417.94
25-Mar-16,416.51,418.08,415.56,417.18
24-Mar-16,418.42,418.68,415.49,416.39
23-Mar-16,418.16,419.27,417.36,418.04
22-Mar-16,413.13,418.38,412.53,418.09
21-Mar-16,413.42,413.42,410.38,413.31
20-Mar-16,410.4,414.63,410.4,413.75
19-Mar-16,409.26,410.98,407.23,410.44
18-Mar-16,420.55,420.55,406.14,409.55
17-Mar-16,417.89,421,417.89,420.62
16-Mar-16,416.89,417.69,415.91,417.01
15-Mar-16,416.39,418.13,414.99,416.83
14-Mar-16,414.2,416.68,414.2,416.44
13-Mar-16,411.65,416.6,411.64,414.06
12-Mar-16,421.61,421.8,410.09,411.62
11-Mar-16,417.24,423.93,417.01,421.69
10-Mar-16,414.74,417.51,413.25,417.13
9-Mar-16,413.89,416.03,411.61,414.86
8-Mar-16,414.46,416.24,411.09,413.97
7-Mar-16,407.76,415.92,406.31,414.32
6-Mar-16,400.52,411.91,395.78,407.71
5-Mar-16,410.78,411.26,394.04,400.57
4-Mar-16,421.84,425.18,410.94,410.94
3-Mar-16,423.91,425.37,419.41,421.65
2-Mar-16,435.13,435.92,423.99,423.99
1-Mar-16,437.92,439.65,432.32,435.12
29-Feb-16,433.44,441.51,431.69,437.7
28-Feb-16,432.57,435.68,423.82,433.5
27-Feb-16,432.84,434.23,428.1,432.52
26-Feb-16,424.63,432.15,421.62,432.15
25-Feb-16,425.04,427.72,420.42,424.54
24-Feb-16,420.96,425.55,413.91,424.95
23-Feb-16,438.25,439.86,417.82,420.74
22-Feb-16,438.99,439.05,432.92,437.75
21-Feb-16,437.77,448.05,429.08,438.8
20-Feb-16,421.6,441.98,421.6,437.16
19-Feb-16,422.73,423.1,417.6,420.79
18-Feb-16,416.57,426,415.64,422.37
17-Feb-16,407.66,421.17,406.78,416.32
16-Feb-16,401.43,408.94,401.43,407.49
15-Feb-16,407.57,410.38,397.75,400.19
14-Feb-16,392.93,407.23,392.93,407.23
13-Feb-16,384.64,391.86,384.64,391.86
12-Feb-16,379.69,384.95,379.6,384.26
11-Feb-16,382.11,383.13,376.4,379.65
10-Feb-16,376.15,385.48,375.78,381.65
9-Feb-16,373.42,377.25,372.9,376.03
8-Feb-16,376.76,379.88,373.33,373.45
7-Feb-16,376.51,380.87,374.9,376.62
